code;country_code;name
AU-NSW;AU;New South Wales
AU-QLD;AU;Queensland
AU-SA;AU;South Australia
AU-TAS;AU;Tasmania
AU-VIC;AU;Victoria
AU-WA;AU;Western Australia
AU-ACT;AU;Australian Capital Territory
AU-NT;AU;Northern Territory
CA-AB;CA;Alberta
CA-BC;CA;British Columbia
CA-MB;CA;Manitoba
CA-NB;CA;New Brunswick
CA-NL;CA;Newfoundland and Labrador
CA-NS;CA;Nova Scotia
CA-ON;CA;Ontario
CA-PE;CA;Prince Edward Island
CA-QC;CA;Quebec
CA-SK;CA;Saskatchewan
CA-NT;CA;Northwest Territories
CA-NU;CA;Nunavut
CA-YT;CA;Yukon
CN-AH;CN;Anhui Sheng
CN-BJ;CN;Beijing Shi
CN-CQ;CN;Chongqing Shi
CN-FJ;CN;Fujian Sheng
CN-GD;CN;Guangdong Sheng
CN-GS;CN;Gansu Sheng
CN-GX;CN;Guangxi Zhuangzu Zizhiqu
CN-GZ;CN;Guizhou Sheng
CN-HA;CN;Henan Sheng
CN-HB;CN;Hubei Sheng
CN-HE;CN;Hebei Sheng
CN-HI;CN;Hainan Sheng
CN-HK;CN;Hong Kong SAR (en)
CN-HL;CN;Heilongjiang Sheng
CN-HN;CN;Hunan Sheng
CN-JL;CN;Jilin Sheng
CN-JS;CN;Jiangsu Sheng
CN-JX;CN;Jiangxi Sheng
CN-LN;CN;Liaoning Sheng
CN-MO;CN;Macao SAR (en)
CN-NM;CN;Nei Mongol Zizhiqu
CN-NX;CN;Ningxia Huizi Zizhiqu
CN-QH;CN;Qinghai Sheng
CN-SC;CN;Sichuan Sheng
CN-SD;CN;Shandong Shen
CN-SH;CN;Shanghai Shi
CN-SN;CN;Shaanxi Sheng
CN-SX;CN;Shanxi Sheng
CN-TJ;CN;Tianjin Shi
CN-TW;CN;Taiwan Sheng
CN-XJ;CN;Xinjiang Uygur Zizhiqu
CN-XZ;CN;Xizang Zizhiqu
CN-YN;CN;Yunnan Sheng
CN-ZJ;CN;Zhejiang Sheng
DE-BW;DE;Baden-Württemberg
DE-BY;DE;Bayern	Bavaria
DE-BE;DE;Berlin	Berlin
DE-BB;DE;Brandenburg
DE-HB;DE;Bremen
DE-HH;DE;Hamburg
DE-HE;DE;Hessen
DE-MV;DE;Mecklenburg-Vorpommern
DE-NI;DE;Niedersachsen
DE-NW;DE;Nordrhein-Westfalen
DE-RP;DE;Rheinland-Pfalz
DE-SL;DE;Saarland
DE-SN;DE;Sachsen
DE-ST;DE;Sachsen-Anhalt
DE-SH;DE;Schleswig-Holstein
DE-TH;DE;Thüringen
FR-ARA;FR;Auvergne-Rhône-Alpes
FR-BFC;FR;Bourgogne-Franche-Comté
FR-BRE;FR;Bretagne
FR-CVL;FR;Centre-Val de Loire
FR-20R;FR;Corse
FR-GES;FR;Grand-Est
FR-GP;FR;Guadeloupe
FR-GF;FR;Guyane (française)
FR-HDF;FR;Hauts-de-France
FR-IDF;FR;Île-de-France
FR-MQ;FR;Martinique
FR-YT;FR;Mayotte
FR-NOR;FR;Normandie
FR-NAQ;FR;Nouvelle-Aquitaine
FR-OCC;FR;Occitanie
FR-PDL;FR;Pays-de-la-Loire
FR-PAC;FR;Provence-Alpes-Côte-d’Azur
FR-RE;FR;La Réunion
GB-ENG;GB;England
GB-NIR;GB;Northern Ireland
GB-SCT;GB;Scotland
GB-WLS;GB;Wales
IL-D;IL;HaDarom
IL-M;IL;HaMerkaz
IL-Z;IL;HaTsafon
IL-HA;IL;H̱efa
IL-TA;IL;Tel Aviv
IL-JM;IL;Yerushalayim
IN-AP;IN;Andhra Pradesh
IN-AR;IN;Arunāchal Pradesh
IN-AS;IN;Assam
