ID;parent_ID;uom_code;dimensions;integerValue;forecastValue;targetValue;criticality_code;integerValueWithUoM
89d6a34b-2a7c-4ba9-a51d-2e94480d42be;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;1;20;30;50;0;20
f9cb6bbc-a4a6-4d84-b68f-c9b602107150;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;2;22;33;54;1;22
ebea68c4-b2c7-46fe-b9dc-a8ee127bb6cb;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;3;24;36;58;2;24
87b9a9a5-16e2-4a6f-947c-f8979bf9655f;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;4;26;39;62;3;26
1d046ed5-6b35-4edc-814f-f615fcd3a99a;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;5;28;42;66;0;28
d8ea5976-dee1-4073-b1d2-f8cbd809d981;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;6;30;45;70;1;30
e5d79289-ca89-4acb-8978-a7f11a87f7db;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;7;32;48;74;2;32
576acb60-c80a-4982-b9e4-4e8e61a479d1;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;8;34;51;78;3;34
15093019-a69f-48ef-83c0-cf0aa994c0ee;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;9;36;54;82;0;36
f4eec563-de57-4284-9499-ac054259a123;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;10;38;57;86;1;38
b635ed10-539d-4f40-b04b-a7534fb48f99;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;11;40;60;90;2;40
c347bdd7-4b26-4bf9-99d4-e275e6ebd6af;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;12;42;63;94;3;42
38164966-ef87-4643-b0e9-97ac49ed2138;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;13;44;66;98;0;44
f22487b1-eaf0-417d-9d9d-1dba4975168e;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;14;46;69;102;1;46
12f8bb36-0dae-4791-9fed-e74ff326a916;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;15;48;72;106;2;48
7867e7cc-8b31-4091-abf6-0d0ccea00701;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;16;50;75;110;3;50
f483a259-3a03-470a-967d-a50c0ec554d6;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;17;52;78;114;0;52
920f7d8e-6ca6-43c8-819d-c24ab5b1b48d;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;18;54;81;118;1;54
982424e1-e9e1-4cb0-a436-314fddfaa50d;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;19;56;84;122;2;56
48a222b5-39f0-409b-9662-c7e0b118b7a3;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;20;58;87;126;3;58
a3aae1f6-7286-4d2c-a026-d4d6933c7fb1;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;21;60;90;130;0;60
551dab7c-7cba-4fa6-9d82-4c9c7da2278f;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;22;62;93;134;1;62
56c40999-b4cc-425a-8fce-54a63b9ccb83;d419b9d9-897e-4e1f-9a7d-6a16e3c8f776;length-meter;23;64;96;138;2;64
